"url","Link","Link_link","Value 1","Value 2","Value 3"
"http://www.vandal.net/juegos/0/videojuegos/inicio/14","The Cooking Game","http://www.vandal.net/juegos/pc/the-cooking-game/42965","21/10/2016","Ordenador","Estrategia"
"http://www.vandal.net/juegos/0/videojuegos/inicio/14","The Deep Paths: Labyrinth Of Andokost","http://www.vandal.net/juegos/pc/the-deep-paths-labyrinth-of-andokost/42055","26/10/2016","Ordenador","Rol"
"http://www.vandal.net/juegos/0/videojuegos/inicio/14","The Elder Scrolls V: Skyrim: Special Edition","http://www.vandal.net/juegos/ps4/the-elder-scrolls-v-skyrim-special-edition/39790","28/10/2016","PlayStation 4","Rol"
"http://www.vandal.net/juegos/0/videojuegos/inicio/14","The Elder Scrolls V: Skyrim: Special Edition","http://www.vandal.net/juegos/xbone/the-elder-scrolls-v-skyrim-special-edition/39791","28/10/2016","Xbox One","Rol"
"http://www.vandal.net/juegos/0/videojuegos/inicio/14","The Elder Scrolls V: Skyrim: Special Edition","http://www.vandal.net/juegos/pc/the-elder-scrolls-v-skyrim-special-edition/39800","28/10/2016","Ordenador","Rol"
"http://www.vandal.net/juegos/0/videojuegos/inicio/14","The Hateful Dead","http://www.vandal.net/juegos/pc/the-hateful-dead/42671","28/10/2016","Ordenador","Acción"
"http://www.vandal.net/juegos/0/videojuegos/inicio/14","The Infinite Black","http://www.vandal.net/juegos/pc/the-infinite-black/41761","19/10/2016","Ordenador","Estrategia / Multi Online"
"http://www.vandal.net/juegos/0/videojuegos/inicio/14","The Jackbox Party Pack 3","http://www.vandal.net/juegos/pc/the-jackbox-party-pack-3/37657","18/10/2016","Ordenador","Otros"
"http://www.vandal.net/juegos/0/videojuegos/inicio/14","The Jackbox Party Pack 3","http://www.vandal.net/juegos/ps4/the-jackbox-party-pack-3/37659","19/10/2016","PlayStation 4","Otros"
"http://www.vandal.net/juegos/0/videojuegos/inicio/14","The Jackbox Party Pack 3","http://www.vandal.net/juegos/xbone/the-jackbox-party-pack-3/37658","21/10/2016","Xbox One","Otros"
"http://www.vandal.net/juegos/0/videojuegos/inicio/13","Snake Cubed","http://www.vandal.net/juegos/pc/snake-cubed/42874","1/11/2016","Ordenador","Puzle"
"http://www.vandal.net/juegos/0/videojuegos/inicio/13","Snow","http://www.vandal.net/juegos/ps4/snow/25590","25/10/2016","PlayStation 4","Deportes / PS Network"
"http://www.vandal.net/juegos/0/videojuegos/inicio/13","Social Interaction Trainer","http://www.vandal.net/juegos/pc/social-interaction-trainer/42436","3/11/2016","Ordenador","Otros"
"http://www.vandal.net/juegos/0/videojuegos/inicio/13","Sombrero","http://www.vandal.net/juegos/pc/sombrero/40619","27/10/2016","Ordenador","Acción"
"http://www.vandal.net/juegos/0/videojuegos/inicio/13","Soulless: Ray Of Hope","http://www.vandal.net/juegos/pc/soulless-ray-of-hope/42748","18/10/2016","Ordenador","Plataformas / Puzle"
"http://www.vandal.net/juegos/0/videojuegos/inicio/13","Space Overlords","http://www.vandal.net/juegos/ps4/space-overlords/35470","26/10/2016","PlayStation 4","Acción"
"http://www.vandal.net/juegos/0/videojuegos/inicio/13","Spellstone","http://www.vandal.net/juegos/pc/spellstone/42672","Octubre 2016","Ordenador","Estrategia"
"http://www.vandal.net/juegos/0/videojuegos/inicio/13","Spider: Rite of the Shrouded Moon","http://www.vandal.net/juegos/ps4/spider-rite-of-the-shrouded-moon/43114","25/10/2016","PlayStation 4","Acción"
"http://www.vandal.net/juegos/0/videojuegos/inicio/13","Spider: Rite of the Shrouded Moon","http://www.vandal.net/juegos/psvita/spider-rite-of-the-shrouded-moon/43116","25/10/2016","PSVITA","Acción"
"http://www.vandal.net/juegos/0/videojuegos/inicio/13","SPLIT BULLET","http://www.vandal.net/juegos/pc/split-bullet/42920","Octubre 2016","Ordenador","Acción / Shooter"
"http://www.vandal.net/juegos/0/videojuegos/inicio/13","Stable Orbit","http://www.vandal.net/juegos/pc/stable-orbit/40908","Octubre 2016","Ordenador","Simulación"
"http://www.vandal.net/juegos/0/videojuegos/inicio/13","Staircase: VR","http://www.vandal.net/juegos/pc/staircase-vr/42890","Octubre 2016","Ordenador","Aventura"
"http://www.vandal.net/juegos/0/videojuegos/inicio/13","Starfighter Arduxim","http://www.vandal.net/juegos/pc/starfighter-arduxim/42823","19/10/2016","Ordenador","Acción"
"http://www.vandal.net/juegos/0/videojuegos/inicio/13","Starship Titanic","http://www.vandal.net/juegos/pc/starship-titanic/42992","28/10/2016","Ordenador","Aventura"
"http://www.vandal.net/juegos/0/videojuegos/inicio/13","Super Destronaut 2: Go Duck Yourself eShop","http://www.vandal.net/juegos/wiiu/super-destronaut-2-go-duck-yourself-eshop/43007","20/10/2016","Wii U","Acción"
"http://www.vandal.net/juegos/0/videojuegos/inicio/13","Super Dungeon Bros.","http://www.vandal.net/juegos/xbone/super-dungeon-bros/29899","1/11/2016","Xbox One","Aventura"
"http://www.vandal.net/juegos/0/videojuegos/inicio/13","Super Dungeon Bros.","http://www.vandal.net/juegos/ps4/super-dungeon-bros/29900","1/11/2016","PlayStation 4","Aventura"
"http://www.vandal.net/juegos/0/videojuegos/inicio/13","Super Dungeon Bros.","http://www.vandal.net/juegos/pc/super-dungeon-bros/29901","1/11/2016","Ordenador","Acción"
"http://www.vandal.net/juegos/0/videojuegos/inicio/13","Super Hop 'N' Bop ULTRA","http://www.vandal.net/juegos/pc/super-hop-n-bop-ultra/42805","17/10/2016","Ordenador","Acción"
"http://www.vandal.net/juegos/0/videojuegos/inicio/13","Super Puzzle Sisters","http://www.vandal.net/juegos/pc/super-puzzle-sisters/42801","17/10/2016","Ordenador","Puzle"
"http://www.vandal.net/juegos/0/videojuegos/inicio/12","Root Letter","http://www.vandal.net/juegos/psvita/root-letter/34457","28/10/2016","PSVITA","Aventura Gráfica"
"http://www.vandal.net/juegos/0/videojuegos/inicio/12","Rose of Winter","http://www.vandal.net/juegos/pc/rose-of-winter/42914","17/10/2016","Ordenador","Aventura"
"http://www.vandal.net/juegos/0/videojuegos/inicio/12","Russian SuperHero Dead Ivan","http://www.vandal.net/juegos/pc/russian-superhero-dead-ivan/42884","19/10/2016","Ordenador","Acción"
"http://www.vandal.net/juegos/0/videojuegos/inicio/12","Rusty Lake: Roots","http://www.vandal.net/juegos/pc/rusty-lake-roots/42916","20/10/2016","Ordenador","Aventura"
"http://www.vandal.net/juegos/0/videojuegos/inicio/12","Scary Humans","http://www.vandal.net/juegos/pc/scary-humans/43071","25/10/2016","Ordenador","Puzle"
"http://www.vandal.net/juegos/0/videojuegos/inicio/12","Secrets of Magic: The Book of Spells","http://www.vandal.net/juegos/pc/secrets-of-magic-the-book-of-spells/42657","21/10/2016","Ordenador","Puzle"
"http://www.vandal.net/juegos/0/videojuegos/inicio/12","SEGA 3D Classics Collection","http://www.vandal.net/juegos/3ds/sega-3d-classics-collection/35697","4/11/2016","Nintendo 3DS","Otros"
"http://www.vandal.net/juegos/0/videojuegos/inicio/12","Sembl","http://www.vandal.net/juegos/iphone/sembl/43095","19/10/2016","iPhone","Puzle"
"http://www.vandal.net/juegos/0/videojuegos/inicio/12","Seraph","http://www.vandal.net/juegos/ps4/seraph/37933","1/11/2016","PlayStation 4","Acción / Plataformas"
